Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
Eidsvold Hospital Multipurpose Health Service,115 Cracow Road,,EIDSVOLD,QLD,4627,Wide Bay,Multi-Purpose Service,7,1,,,Queensland Health,State Government,Outer Regional Australia,"$363,137"
Elanora,7 Mair Street,,BRIGHTON,VIC,3186,Southern Metro,Residential,142,,,,Aged Care Services Eight (Elanora) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$8,900,303"
Elanora,7-23 Wallaroo Drive,,SHELLHARBOUR CITY CENTRE,NSW,2529,Illawarra,Residential,100,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$5,847,460"
Eldercare Acacia Court,81 Tapleys Hill Road,,HENDON,SA,5014,Metropolitan West,Residential,108,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$6,692,085"
Eldercare Allambi,86 Oaklands Road,,GLENGOWRIE,SA,5046,Metropolitan South,Residential,119,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$7,449,640"
Eldercare Cottage Grove,150 Reynell Road,,WOODCROFT,SA,5162,Metropolitan South,Residential,101,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$6,762,003"
Eldercare Elanora,13 PIONEER Street,,STANSBURY,SA,5582,"Yorke, Lower North & Barossa",Home Care Places,,4,,,Eldercare Inc,Charitable,Remote Australia,"$49,964"
Eldercare Elanora,13 PIONEER Street,,STANSBURY,SA,5582,"Yorke, Lower North & Barossa",Residential,44,,,,Eldercare Inc,Charitable,Remote Australia,"$2,301,077"
Eldercare Evanston Park,17 Morrow Avenue,,EVANSTON PARK,SA,5116,"Yorke, Lower North & Barossa",Residential,100,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$6,437,042"
Eldercare Extended Care Packages - Yorke Peninsula,6-10 Centenary Avenue,,MAITLAND,SA,5573,"Yorke, Lower North & Barossa",Home Care Places,,,5,,Eldercare Inc,Charitable,Outer Regional Australia,"$192,981"
Eldercare Extended Care Packages - Yorke Peninsula,6-10 Centenary Avenue,,MAITLAND,SA,5573,"Yorke, Lower North & Barossa",Home Care Places,,,7,,Eldercare Inc,Charitable,Outer Regional Australia,"$307,840"
Eldercare Kirkholme,7 Victoria Street,,GOODWOOD,SA,5034,Metropolitan East,Residential,84,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$5,337,019"
Eldercare Oxford,35 Hulbert Street,,HOVE,SA,5048,Metropolitan South,Residential,42,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$3,118,482"
Eldercare Sash Ferguson,8 Fletcher Road,,MOUNT BARKER,SA,5251,"Hills, Mallee & Southern",Residential,53,,,,Eldercare Inc,Charitable,Inner Regional Australia,"$3,383,003"
Eldercare Seaford,670 GRAND Boulevard,,SEAFORD,SA,5169,Metropolitan South,Residential,100,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$6,851,374"
Eldercare The Lodge,14-22 King William Road,,WAYVILLE,SA,5034,Metropolitan East,Residential,101,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$5,210,998"
Eldercare The Village,6-10 Centenary Avenue,,MAITLAND,SA,5573,"Yorke, Lower North & Barossa",Residential,61,,,,Eldercare Inc,Charitable,Outer Regional Australia,"$3,628,117"
Eldercare Trowbridge House,9 Luhrs Road,,PAYNEHAM SOUTH,SA,5070,Metropolitan East,Residential,64,,,,Eldercare Inc,Charitable,Major Cities of Australia,"$3,828,658"
Elderly Australian Chinese Homes Co-Op Ltd,35a Murray Street,,CROYDON,NSW,2132,Inner West,Home Care Places,,35,,,Elderly Australian Chinese Homes (NSW) Co-operative Limited,Community Based,Major Cities of Australia,"$457,573"
Elderly Chinese Home,125-129 Manningham Street,,PARKVILLE,VIC,3052,Western Metro,Residential,47,,,,Elderly Chinese Home Inc,Community Based,Major Cities of Australia,"$2,741,100"
Elders Choices,52 Dunrobin Road,,HOVE,SA,5048,Metropolitan West,Home Care Places,,30,,,City of Holdfast Bay,Local Government,Major Cities of Australia,"$290,449"
"Elders, HACC & Disability Service EACH",37-53 Dalmahoy Street,,BAIRNSDALE,VIC,3875,Gippsland,Home Care Places,,,5,,Gippsland & East Gippsland Aboriginal Co-operative Ltd,Community Based,Outer Regional Australia,"$174,010"
Eliza Purton Home For The Aged,30 Lakin Street,,WEST ULVERSTONE,TAS,7315,North Western,Residential,55,,,,Island Care (Tasmania) Ltd,Charitable,Outer Regional Australia,"$3,391,031"
Eliza Purton Hostel,30 Lakin Street,,WEST ULVERSTONE,TAS,7315,North Western,Residential,41,,,,Island Care (Tasmania) Ltd,Charitable,Outer Regional Australia,"$2,650,803"
Elizabeth Gardens Hostel,2-8 Elizabeth Street,,BURWOOD,VIC,3125,Eastern Metro,Residential,38,,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,"$1,335,320"
Elizabeth Gardens Nursing Home,2 Elizabeth Street,,BURWOOD,VIC,3125,Eastern Metro,Residential,30,,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,"$1,903,384"
Elizabeth Gates Nursing Home,128 Blaxland Avenue,,SINGLETON HEIGHTS,NSW,2330,Hunter,Residential,35,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,"$2,183,263"
Elizabeth Gates Nursing Home / Alroy House Hostel,128 Blaxland Avenue,,SINGLETON HEIGHTS,NSW,2330,Hunter,Residential,49,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,"$2,270,803"
Elizabeth Jenkins Place Aged Care Plus Centre,8 Homestead Avenue,,COLLAROY,NSW,2097,Northern Sydney,Residential,126,,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,"$6,193,482"
Elizabeth Lodge (Rushcutters Bay),46 Bayswater Road,,RUSHCUTTERS BAY,NSW,2011,South East Sydney,Residential,116,,,,Anglican Retirement Villages,Religious,Major Cities of Australia,"$5,933,687"
Elizabeth Lodge Hostel,79 Mt Pleasant Avenue,,NORMANHURST,NSW,2076,Northern Sydney,Residential,94,,,,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,"$3,665,769"
Elliott District Aged Care Service,Lot 84 Stuart Highway,,ELLIOTT,NT,862,Barkly,Home Care Places,,6,,,Barkly Regional Council,Local Government,Very Remote Australia,"$116,010"
Elly Kay,45-51 Elliot Street,,MORDIALLOC,VIC,3195,Southern Metro,Residential,91,,,,Sapphire Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,423,968"
Elm Flora Hill,64  SOMERVILLE STREET,,FLORA HILL,VIC,3550,Loddon-Mallee,Residential,46,,,,Elm Aged Living Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$2,326,810"
Elm Mount Martha Valley,130 Country Club Drive,,SAFETY BEACH,VIC,3936,Southern Metro,Residential,125,,,,Elm Aged Living Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,318,795"
Elouera Aged Care Centre,6-11 Kooringa Place,,TORQUAY,VIC,3228,Barwon-South Western,Residential,75,,,,Aged Care Services 28 (Elouera) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$4,415,676"
Eloura,10 Tebbutt Street,,QUIRINDI,NSW,2343,New England,Residential,68,,,,Quirindi Retirement Homes Limited,Community Based,Outer Regional Australia,"$3,318,958"
Eltham Lodge Nursing Home,43 Diamond Street,,ELTHAM,VIC,3095,Northern Metro,Residential,60,,,,Melbourne Citymission Inc,Charitable,Major Cities of Australia,"$3,032,434"
Eltham Retirement Centre,43 Diamond Street,,ELTHAM,VIC,3095,Northern Metro,Home Care Places,,4,,,Melbourne Citymission Inc,Charitable,Major Cities of Australia,"$26,854"
Embracia in Reservoir,65a Glasgow Avenue,,RESERVOIR,VIC,3073,Northern Metro,Residential,95,,,,Embracia Communities Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,710,986"
Embracia in Woodford,131 Archer Street,,WOODFORD,QLD,4514,Cabool,Residential,75,,,,Embracia Communities Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$438,755"
Emerald Terrace Aged Care,1 Chivers Road,,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,50,,,,Orollo Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,763,224"
Emily Gardens at the Rock,9 Emily Street,,THE ROCK,NSW,2655,Riverina/Murray,Residential,30,,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,"$1,311,339"
Emmaus,16 Colonel Barney Drive,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,116,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,"$7,895,642"
Emmaus Residential Care Facility,131 Queens Road,,NUDGEE,QLD,4014,Brisbane North,Residential,150,,,,The Corporation of the Trustees of the Order of the Sisters of Mercy in Queensland,Religious,Major Cities of Australia,"$8,508,046"
Emmaus Village,85 Bakers Lane,,KEMPS CREEK,NSW,2178,Nepean,Residential,64,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,"$3,735,054"
Emmavale Gardens,7 Elberta Avenue,,TEMPLESTOWE LOWER,VIC,3107,Eastern Metro,Residential,50,,,,Menarock Aged Care Services (Templestowe) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,354,299"
Emmaville Multi-Purpose Service,13-33 Glen Innes Road,,EMMAVILLE,NSW,2371,New England,Multi-Purpose Service,13,7,,,Hunter New England Local Health District,State Government,Outer Regional Australia,"$662,248"
Emmerton Park Aged Care Facility,6 SMITH Street,,SMITHTON,TAS,7330,North Western,Residential,61,,,,Emmerton Park Inc,Community Based,Outer Regional Australia,"$3,744,354"
Emmerton Park Community Aged Care Package  Service,7 Upper Grant Street,,SMITHTON,TAS,7330,North Western,Home Care Places,,14,,,Emmerton Park Inc,Community Based,Outer Regional Australia,"$217,688"
Emmerton Park Extended Care Package Service,2-10 Senior Drive,,SMITHTON,TAS,7330,North Western,Home Care Places,,,2,,Emmerton Park Inc,Community Based,Outer Regional Australia,"$98,080"
Emmy Monash Aged Care,518-526 Dandenong Road,,CAULFIELD NORTH,VIC,3161,Southern Metro,Residential,90,,,,Emmy Monash Aged Care Inc,Religious,Major Cities of Australia,"$4,782,348"
Empowered Living Community Care,"Unit 1, The Sanctuary",31 Tinglewood Close,TINGIRA HEIGHTS,NSW,2290,Hunter,Home Care Places,,16,,,Empowered Living Support Services Ltd,Community Based,Major Cities of Australia,"$207,261"
Endeavour Aged Care Support Service,49 MAYNARD Street,,WOOLLOONGABBA,QLD,4102,Brisbane South,Home Care Places,,8,,,Endeavour Foundation,Community Based,Major Cities of Australia,"$105,313"
Endeavour Foundation Aged Care Service,49 MAYNARD Street,,WOOLLOONGABBA,QLD,4102,Brisbane North,Home Care Places,,10,,,Endeavour Foundation,Community Based,Major Cities of Australia,"$56,925"
Endeavour Nursing Home,74-76 Rocky Point Road,,KOGARAH,NSW,2217,South East Sydney,Residential,63,,,,Kenna Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,774,558"
Envigor Cabool - CACP, LAKEFIELD DRIVE,,NORTH LAKES,QLD,4509,Cabool,Home Care Places,,14,,,Envigor Pty Limited,Private Incorporated Body,Major Cities of Australia,"$131,861"
Envigor Cabool - EACH,LAKEFIELD Drive,,NORTH LAKES,QLD,4509,Cabool,Home Care Places,,,5,,Envigor Pty Limited,Private Incorporated Body,Major Cities of Australia,"$164,953"
Envigor Cabool - EACH D, LAKEFIELD DRIVE,,NORTH LAKES,QLD,4509,Cabool,Home Care Places,,,2,,Seasons Living Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$79,970"
Epping Aged Care,30 Epping Road,,EPPING,VIC,3076,Northern Metro,Residential,70,,,,Jaid Residential Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,562,162"
Ern Vine Village,65 Dutton Street,,BANKSTOWN,NSW,2200,South West Sydney,Residential,45,,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,"$1,341,121"
Esperance Aged Care Facility,4 Randell Street,,ESPERANCE,WA,6450,Goldfields,Residential,84,,,,Esperance Aged Care Facility Inc,Community Based,Remote Australia,"$3,637,766"
Esperance Home Care - EACH,0 Black Street,,ESPERANCE,WA,6450,Goldfields,Home Care Places,,,3,,Shire of Esperance,Local Government,Remote Australia,"$137,893"
Esperance Home Care Packages,21 BLACK Street,,ESPERANCE,WA,6450,Goldfields,Home Care Places,,20,,,Shire of Esperance,Local Government,Remote Australia,"$263,156"
Esperance Multipurpose Health Centre,15 Chapman Avenue,,DOVER,TAS,7117,Southern,Residential,8,,,,Huon Eldercare Inc,Charitable,Outer Regional Australia,"$301,257"
Esperance Multipurpose Health Centre,15 Chapman Avenue,,DOVER,TAS,7117,Southern,Residential,8,,,,Huon Eldercare Inc,Charitable,Outer Regional Australia,"$427,554"
Essendon Aged Care,10 Fletcher Street,,ESSENDON,VIC,3040,Western Metro,Residential,60,,,,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,866,095"
Estia Health Aberfoyle Park,39 Campus Drive,,ABERFOYLE PARK,SA,5159,Metropolitan South,Residential,97,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,738,409"
Estia Health Albany Creek,55 Faheys Road West,,ALBANY CREEK,QLD,4035,Cabool,Residential,71,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,166,098"
Estia Health Albury,289 Elizabeth Mitchell Drive,,THURGOONA,NSW,2640,Riverina/Murray,Residential,80,,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$4,171,411"
Estia Health Altona Meadows,297 Queen Street,,ALTONA MEADOWS,VIC,3028,Western Metro,Residential,90,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,005,749"
Estia Health Ardeer,30 North Street,,ARDEER,VIC,3022,Western Metro,Residential,55,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,962,821"
Estia Health Bentleigh,34-36 Clairmont Avenue,,BENTLEIGH,VIC,3204,Southern Metro,Residential,45,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,743,889"
Estia Health Burton,367-379 Waterloo Corner Road,,BURTON,SA,5110,Metropolitan North,Residential,80,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,952,984"
Estia Health Coolaroo,15 Mladen Court,,COOLAROO,VIC,3048,Northern Metro,Residential,60,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,085,083"
Estia Health Craigmore,150 Adams Road,,CRAIGMORE,SA,5114,Metropolitan North,Residential,126,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,378,343"
Estia Health Dalmeny,25-29 Noble Parade,,DALMENY,NSW,2546,Southern Highlands,Residential,115,,,,Estia Investments Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$5,918,457"
Estia Health Dandenong,147-151 David Street,,DANDENONG,VIC,3175,Southern Metro,Residential,60,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,057,178"
Estia Health Daw Park,7 Lancelot Drive,,DAW PARK,SA,5041,Metropolitan South,Residential,80,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,020,943"
Estia Health Encounter Bay,150 Bay Road,,ENCOUNTER BAY,SA,5211,"Hills, Mallee & Southern",Residential,121,,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$7,188,535"
Estia Health Epping - The Poplars,64-66 Norfolk Road,,EPPING,NSW,2121,Northern Sydney,Residential,103,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,058,632"
Estia Health Flagstaff Hill,40 Skyline Drive,,FLAGSTAFF HILL,SA,5159,Metropolitan South,Residential,82,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,854,570"
Estia Health Forster,105 The Southern Parkway,,FORSTER,NSW,2428,Mid North Coast,Residential,100,,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$5,537,241"
Estia Health Golden Grove,The Viceroy,27 Captain Robertson Avenue,GOLDEN GROVE,SA,5125,Metropolitan North,Residential,100,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,418,040"
Estia Health Grovedale,6a Perrett Street,,GROVEDALE,VIC,3216,Barwon-South Western,Residential,120,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,742,739"
Estia Health Heidelberg West,413-415 Waterdale Road,,HEIDELBERG WEST,VIC,3081,Northern Metro,Residential,45,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,119,523"
Estia Health Kadina,8 Mine Street,,KADINA,SA,5554,"Yorke, Lower North & Barossa",Residential,60,,,,Estia Investments Pty Ltd,Private Incorporated Body,Outer Regional Australia,"$3,435,684"
Estia Health Kensington Gardens,421 The Parade,,KENSINGTON GARDENS,SA,5068,Metropolitan East,Residential,76,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,184,953"
Estia Health Keysborough,15 Stanley Road,,KEYSBOROUGH,VIC,3173,Southern Metro,Residential,60,,,,Chevron Corporation Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,714,720"
Estia Health Knoxfield,428 Scoresby Road,,knoxfield,VIC,3180,Eastern Metro,Residential,54,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,246,410"
Estia Health Leopold,52-60 Ash Road,,LEOPOLD,VIC,3224,Barwon-South Western,Residential,75,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,874,349"
Estia Health Lockleys,334-342 Henley Beach Road,,LOCKLEYS,SA,5032,Metropolitan West,Residential,86,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,870,054"
Estia Health Manly Vale,5-13 King Street,,MANLY VALE,NSW,2093,Northern Sydney,Residential,82,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,275,310"
Estia Health Melton South,34-42 Brooklyn Road,,MELTON SOUTH,VIC,3338,Western Metro,Residential,100,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,837,641"
Estia Health Mona Vale,50 Golf Avenue,,MONA VALE,NSW,2103,Northern Sydney,Residential,54,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,367,007"
Estia Health Mudgeeraba,21-25 Old Coach Road,,MUDGEERABA,QLD,4213,South Coast,Residential,167,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,519,570"
Estia Health Nambour,27 Glenbrook Drive,,NAMBOUR,QLD,4560,Sunshine Coast,Residential,75,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,282,548"
Estia Health Oakleigh East,23 A ELIZABETH Street,,OAKLEIGH EAST,VIC,3166,Eastern Metro,Residential,110,,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,394,541"
